Three Points Hospitality - Training Analytics Dashboard,,,,
,,,,
Last Updated:,03/05/2026 08:56:18,,,
,,,,
Metric,This Week,Last Week,This Month,All Time
Total Assessments,0,1,0,36
Total Assessments,1,2,1,34
Average Score (%),92,82,92,75
Excellent Performance %,100,50,100,35
Good Performance %,0,0,0,24
Needs Improvement %,0,50,0,41
Unique Trainees,1,2,1,26
Active Trainers,1,1,1,9
,,,,
Performance by Location,,,,
Location,Avg Score (%),Total Assessments,Excellent %,Needs Improvement %
Cantina Añejo,19,84,47,21
Original American Kitchen,8,84,38,38
White Buffalo,7,40,0,100